Description;Category
Ace Hardware;Home Supplies
Quick Mart;Groceries
Amazon.com;Online Shopping
PetSmart;Pet Supplies
ABC Liquor;Alcohol
Target;Shopping
Burger King;Dining Out
Macy's;Shopping
Shell;Transportation
Best Buy;Electronics
Starbucks;Dining Out
Jiffy Lube;Auto
Netflix;Entertainment
Office Depot;Office Supplies
Chipotle;Dining Out
Barnes & Noble;Books
Michaels;Crafts
Uber;Transportation
Whole Foods;Groceries
Ulta;Personal Care
Lowe's;Home Supplies
Red Lobster;Dining Out
Apple Store;Electronics
Sephora;Personal Care
Home Depot;Home Supplies
Dunkin' Donuts;Dining Out
Nike;Clothing
CVS;Health Care
McDonald's;Dining Out
T.J. Maxx;Shopping
BP;Transportation
Walmart;Shopping
Pizza Hut;Dining Out
Petco;Pet Supplies
Domino's Pizza;Dining Out
Jiffy Lube;Transportation
Wendy's;Dining Out
Subway;Dining Out
Fireworks Stand;Entertainment
Taco Bell;Dining Out
Chick-fil-A;Dining Out
